room_id,user_name,user_photo,created_at,text,accuracy,communication,cleanliness,location,check_in,value
80,Tina,https://robohash.org/nonsuntqui.png?size=50x50&set=set1,5/26/16,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",2,2,5,2,2,3
58,Joice,https://robohash.org/idcumporro.jpg?size=50x50&set=set1,8/8/16,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",5,3,5,2,5,5
52,Dell,https://robohash.org/estaliquidnam.bmp?size=50x50&set=set1,2/28/18,Aliquam non mauris.,4,3,5,2,1,1
17,Eva,https://robohash.org/omnisestaut.jpg?size=50x50&set=set1,4/29/16,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.",4,3,1,5,4,5
85,Cassandra,https://robohash.org/quasadvoluptas.bmp?size=50x50&set=set1,10/4/16,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,4,5,2,2,3,1
45,Shela,https://robohash.org/repudiandaeteneturnihil.png?size=50x50&set=set1,6/4/17,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",5,5,2,2,5,2
22,Carlo,https://robohash.org/porroquisaspernatur.bmp?size=50x50&set=set1,10/26/17,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",3,3,5,4,2,5
63,Joela,https://robohash.org/voluptatemdolorumconsequatur.png?size=50x50&set=set1,9/29/17,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.",3,1,1,2,4,2
25,Dian,https://robohash.org/quiaducimussed.jpg?size=50x50&set=set1,8/24/17,"Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",4,2,5,5,3,3
19,Arleyne,https://robohash.org/utanimiconsequuntur.png?size=50x50&set=set1,1/17/17,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",4,2,3,1,4,4
92,Alessandra,https://robohash.org/cumqueseddeserunt.jpg?size=50x50&set=set1,9/26/17,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2,2,4,1,3,5
82,Junette,https://robohash.org/eaetsint.png?size=50x50&set=set1,2/1/16,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,5,4,3,1,5,5
61,Tybi,https://robohash.org/doloremetvoluptates.jpg?size=50x50&set=set1,11/10/17,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,5,3,1,5,3,2
62,Maxie,https://robohash.org/pariaturautemvoluptatem.png?size=50x50&set=set1,5/21/16,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,2,1,1,2,3,1
37,Duky,https://robohash.org/voluptatemquismolestias.jpg?size=50x50&set=set1,1/23/18,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",3,4,5,2,1,5
14,Renault,https://robohash.org/totamsitrerum.jpg?size=50x50&set=set1,3/31/16,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1,1,2,3,4,5
68,Kinsley,https://robohash.org/praesentiumsedlaudantium.bmp?size=50x50&set=set1,7/11/17,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",2,5,1,4,3,3
41,Holt,https://robohash.org/autquivoluptatum.jpg?size=50x50&set=set1,6/10/16,"Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",4,4,2,5,3,4
18,Faber,https://robohash.org/eositaquedolore.jpg?size=50x50&set=set1,4/8/17,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,3,1,4,3,2,4
92,Doroteya,https://robohash.org/officiisetporro.jpg?size=50x50&set=set1,4/7/17,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",3,4,1,4,2,2
81,Dorie,https://robohash.org/sedexpeditavoluptatem.png?size=50x50&set=set1,10/2/16,Nulla nisl.,3,3,2,4,5,3
